Before Entering printParticalVariable function
1.41816299e+00 1 0 844437815230464 0.00000000e+00
1.41816299e+00 1 0 844437815230465 0.00000000e+00
1.41816299e+00 1 0 844437815230466 0.00000000e+00
1.41816299e+00 1 0 844437815230467 0.00000000e+00
1.52981643e+00 1 0 844437815230464 0.00000000e+00
1.52981643e+00 1 0 844437815230465 0.00000000e+00
1.52981643e+00 1 0 844437815230466 0.00000000e+00
1.52981643e+00 1 0 844437815230467 0.00000000e+00
1.63716408e+00 1 0 844437815230464 5.40253284e-02
1.63716408e+00 1 0 844437815230465 5.40253284e-02
1.63716408e+00 1 0 844437815230466 5.40253284e-02
1.63716408e+00 1 0 844437815230467 5.40253284e-02
1.74081356e+00 1 0 844437815230464 1.06136212e-01
1.74081356e+00 1 0 844437815230465 1.06136212e-01
1.74081356e+00 1 0 844437815230466 1.06136212e-01
1.74081356e+00 1 0 844437815230467 1.06136212e-01
1.84123541e+00 1 0 844437815230464 1.56581662e-01
1.84123541e+00 1 0 844437815230465 1.56581662e-01
1.84123541e+00 1 0 844437815230466 1.56581662e-01
1.84123541e+00 1 0 844437815230467 1.56581662e-01
1.93880362e+00 1 0 844437815230464 2.05558699e-01
1.93880362e+00 1 0 844437815230465 2.05558699e-01
1.93880362e+00 1 0 844437815230466 2.05558699e-01
1.93880362e+00 1 0 844437815230467 2.05558699e-01
2.03382182e+00 1 0 844437815230464 2.53226644e-01
2.03382182e+00 1 0 844437815230465 2.53226644e-01
2.03382182e+00 1 0 844437815230466 2.53226644e-01
2.03382182e+00 1 0 844437815230467 2.53226644e-01
2.12654082e+00 1 0 844437815230464 2.99135758e-01
2.12654082e+00 1 0 844437815230465 2.99135758e-01
2.12654082e+00 1 0 844437815230466 2.99135758e-01
2.12654082e+00 1 0 844437815230467 2.99135758e-01
2.22147112e+00 1 0 844437815230464 3.46109942e-01
2.22147112e+00 1 0 844437815230465 3.46109942e-01
2.22147112e+00 1 0 844437815230466 3.46109942e-01
2.22147112e+00 1 0 844437815230467 3.46109942e-01
2.31883616e+00 1 0 844437815230464 3.94253242e-01
2.31883616e+00 1 0 844437815230465 3.94253242e-01
2.31883616e+00 1 0 844437815230466 3.94253242e-01
2.31883616e+00 1 0 844437815230467 3.94253242e-01
2.41890170e+00 1 0 844437815230464 4.43688575e-01
2.41890170e+00 1 0 844437815230465 4.43688575e-01
2.41890170e+00 1 0 844437815230466 4.43688575e-01
2.41890170e+00 1 0 844437815230467 4.43688575e-01
2.52198812e+00 1 0 844437815230464 4.94562951e-01
2.52198812e+00 1 0 844437815230465 4.94562951e-01
2.52198812e+00 1 0 844437815230466 4.94562951e-01
2.52198812e+00 1 0 844437815230467 4.94562951e-01
2.62848793e+00 1 0 844437815230464 4.94562951e-01
2.62848793e+00 1 0 844437815230465 4.94562951e-01
